species	control_region	COX2	COX3	CYTB	COX1	ATP6	l-rRNA	ND4L	s-rRNA	ND1	ND3	ND2	ND5	ND4	ND6
557R	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HarA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HarC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MareL28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MareL32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mflo	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MfloFloSoum	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincA14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincL15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincL17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincL19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincL27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincL9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MincVW6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MjavL57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MjavVW4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MjavVW5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
