
There are 4878 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
162 instances of CDS,OG0000000
70 instances of CDS,OG0000021
68 instances of CDS,OG0000024
64 instances of CDS,OG0000033
62 instances of CDS,OG0000036
60 instances of CDS,OG0000043
60 instances of CDS,OG0000046
59 instances of CDS,OG0000048
59 instances of CDS,OG0000049
59 instances of CDS,OG0000050
58 instances of CDS,OG0000055
56 instances of CDS,OG0000059
56 instances of CDS,OG0000062
54 instances of CDS,OG0000069
54 instances of CDS,OG0000071
54 instances of CDS,OG0000072
54 instances of CDS,OG0000074
50 instances of CDS,OG0000095
52 instances of CDS,OG0000096
52 instances of CDS,OG0000097
52 instances of CDS,OG0000100
52 instances of CDS,OG0000101
51 instances of CDS,OG0000103
51 instances of CDS,OG0000110
47 instances of CDS,OG0000111
51 instances of CDS,OG0000115
49 instances of CDS,OG0000116
50 instances of CDS,OG0000121
49 instances of CDS,OG0000124
50 instances of CDS,OG0000125
49 instances of CDS,OG0000127
50 instances of CDS,OG0000129
50 instances of CDS,OG0000130
50 instances of CDS,OG0000131
50 instances of CDS,OG0000132
49 instances of CDS,OG0000134
50 instances of CDS,OG0000135
49 instances of CDS,OG0000136
49 instances of CDS,OG0000138
48 instances of CDS,OG0000142
49 instances of CDS,OG0000143
48 instances of CDS,OG0000145
49 instances of CDS,OG0000147
49 instances of CDS,OG0000148
48 instances of CDS,OG0000151
48 instances of CDS,OG0000152
46 instances of CDS,OG0000155
49 instances of CDS,OG0000156
49 instances of CDS,OG0000157
48 instances of CDS,OG0000158
49 instances of CDS,OG0000159
48 instances of CDS,OG0000163
47 instances of CDS,OG0000164
48 instances of CDS,OG0000165
48 instances of CDS,OG0000166
48 instances of CDS,OG0000167
47 instances of CDS,OG0000168
48 instances of CDS,OG0000169
48 instances of CDS,OG0000170
48 instances of CDS,OG0000171
48 instances of CDS,OG0000172
48 instances of CDS,OG0000174
48 instances of CDS,OG0000176
48 instances of CDS,OG0000177
48 instances of CDS,OG0000178
48 instances of CDS,OG0000179
47 instances of CDS,OG0000181
47 instances of CDS,OG0000182
48 instances of CDS,OG0000183
48 instances of CDS,OG0000186
47 instances of CDS,OG0000187
48 instances of CDS,OG0000189
48 instances of CDS,OG0000191
47 instances of CDS,OG0000192
47 instances of CDS,OG0000194
47 instances of CDS,OG0000196
47 instances of CDS,OG0000197
47 instances of CDS,OG0000199
47 instances of CDS,OG0000200
47 instances of CDS,OG0000201
47 instances of CDS,OG0000202
47 instances of CDS,OG0000203
47 instances of CDS,OG0000205
47 instances of CDS,OG0000207
47 instances of CDS,OG0000208
47 instances of CDS,OG0000212
47 instances of CDS,OG0000213
46 instances of CDS,OG0000214
46 instances of CDS,OG0000215
47 instances of CDS,OG0000216
47 instances of CDS,OG0000217
47 instances of CDS,OG0000219
46 instances of CDS,OG0000221
46 instances of CDS,OG0000222
47 instances of CDS,OG0000223
47 instances of CDS,OG0000224
47 instances of CDS,OG0000228
47 instances of CDS,OG0000229
46 instances of CDS,OG0000230
46 instances of CDS,OG0000232
