
There are 4566 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
68 instances of CDS,OG0000023
65 instances of CDS,OG0000029
64 instances of CDS,OG0000032
61 instances of CDS,OG0000043
59 instances of CDS,OG0000046
59 instances of CDS,OG0000047
57 instances of CDS,OG0000052
57 instances of CDS,OG0000054
56 instances of CDS,OG0000057
56 instances of CDS,OG0000059
56 instances of CDS,OG0000063
54 instances of CDS,OG0000070
52 instances of CDS,OG0000073
53 instances of CDS,OG0000078
52 instances of CDS,OG0000079
52 instances of CDS,OG0000085
50 instances of CDS,OG0000087
52 instances of CDS,OG0000088
52 instances of CDS,OG0000092
51 instances of CDS,OG0000095
51 instances of CDS,OG0000097
50 instances of CDS,OG0000102
50 instances of CDS,OG0000104
50 instances of CDS,OG0000106
50 instances of CDS,OG0000109
50 instances of CDS,OG0000111
50 instances of CDS,OG0000112
50 instances of CDS,OG0000113
50 instances of CDS,OG0000115
50 instances of CDS,OG0000117
50 instances of CDS,OG0000118
50 instances of CDS,OG0000120
49 instances of CDS,OG0000128
49 instances of CDS,OG0000129
48 instances of CDS,OG0000132
48 instances of CDS,OG0000133
49 instances of CDS,OG0000134
49 instances of CDS,OG0000136
46 instances of CDS,OG0000139
49 instances of CDS,OG0000140
49 instances of CDS,OG0000142
48 instances of CDS,OG0000143
47 instances of CDS,OG0000144
48 instances of CDS,OG0000145
48 instances of CDS,OG0000146
48 instances of CDS,OG0000151
48 instances of CDS,OG0000152
48 instances of CDS,OG0000153
48 instances of CDS,OG0000154
47 instances of CDS,OG0000161
47 instances of CDS,OG0000162
47 instances of CDS,OG0000164
47 instances of CDS,OG0000165
47 instances of CDS,OG0000166
47 instances of CDS,OG0000168
47 instances of CDS,OG0000170
47 instances of CDS,OG0000172
47 instances of CDS,OG0000173
47 instances of CDS,OG0000175
47 instances of CDS,OG0000176
47 instances of CDS,OG0000179
47 instances of CDS,OG0000181
47 instances of CDS,OG0000183
46 instances of CDS,OG0000187
47 instances of CDS,OG0000189
46 instances of CDS,OG0000192
46 instances of CDS,OG0000193
46 instances of CDS,OG0000194
45 instances of CDS,OG0000195
45 instances of CDS,OG0000197
46 instances of CDS,OG0000201
44 instances of CDS,OG0000205
46 instances of CDS,OG0000206
46 instances of CDS,OG0000210
46 instances of CDS,OG0000211
45 instances of CDS,OG0000213
46 instances of CDS,OG0000217
44 instances of CDS,OG0000219
45 instances of CDS,OG0000220
43 instances of CDS,OG0000221
44 instances of CDS,OG0000222
45 instances of CDS,OG0000224
45 instances of CDS,OG0000225
44 instances of CDS,OG0000226
45 instances of CDS,OG0000228
45 instances of CDS,OG0000229
45 instances of CDS,OG0000230
45 instances of CDS,OG0000231
45 instances of CDS,OG0000232
45 instances of CDS,OG0000233
45 instances of CDS,OG0000234
45 instances of CDS,OG0000237
45 instances of CDS,OG0000238
45 instances of CDS,OG0000239
45 instances of CDS,OG0000243
45 instances of CDS,OG0000244
45 instances of CDS,OG0000245
45 instances of CDS,OG0000246
45 instances of CDS,OG0000248
45 instances of CDS,OG0000250
45 instances of CDS,OG0000251
45 instances of CDS,OG0000252
45 instances of CDS,OG0000254
44 instances of CDS,OG0000259
44 instances of CDS,OG0000260
43 instances of CDS,OG0000261
44 instances of CDS,OG0000263
44 instances of CDS,OG0000264
44 instances of CDS,OG0000267
44 instances of CDS,OG0000269
44 instances of CDS,OG0000273
44 instances of CDS,OG0000274
44 instances of CDS,OG0000275
44 instances of CDS,OG0000276
43 instances of CDS,OG0000277
44 instances of CDS,OG0000278
44 instances of CDS,OG0000279
44 instances of CDS,OG0000280
43 instances of CDS,OG0000283
42 instances of CDS,OG0000284
44 instances of CDS,OG0000286
44 instances of CDS,OG0000287
44 instances of CDS,OG0000289
44 instances of CDS,OG0000290
44 instances of CDS,OG0000293
44 instances of CDS,OG0000294
44 instances of CDS,OG0000295
44 instances of CDS,OG0000296
44 instances of CDS,OG0000299
44 instances of CDS,OG0000301
44 instances of CDS,OG0000303
44 instances of CDS,OG0000304
44 instances of CDS,OG0000305
43 instances of CDS,OG0000307
43 instances of CDS,OG0000308
43 instances of CDS,OG0000309
43 instances of CDS,OG0000310
43 instances of CDS,OG0000311
43 instances of CDS,OG0000312
43 instances of CDS,OG0000313
43 instances of CDS,OG0000315
43 instances of CDS,OG0000317
43 instances of CDS,OG0000320
43 instances of CDS,OG0000322
43 instances of CDS,OG0000323
43 instances of CDS,OG0000324
43 instances of CDS,OG0000325
43 instances of CDS,OG0000326
43 instances of CDS,OG0000328
43 instances of CDS,OG0000329
43 instances of CDS,OG0000330
43 instances of CDS,OG0000332
42 instances of CDS,OG0000333
43 instances of CDS,OG0000335
43 instances of CDS,OG0000336
43 instances of CDS,OG0000337
43 instances of CDS,OG0000339
43 instances of CDS,OG0000340
43 instances of CDS,OG0000341
43 instances of CDS,OG0000342
42 instances of CDS,OG0000343
43 instances of CDS,OG0000344
43 instances of CDS,OG0000348
43 instances of CDS,OG0000350
43 instances of CDS,OG0000351
43 instances of CDS,OG0000352
43 instances of CDS,OG0000353
43 instances of CDS,OG0000354
43 instances of CDS,OG0000355
42 instances of CDS,OG0000357
43 instances of CDS,OG0000359
42 instances of CDS,OG0000360
43 instances of CDS,OG0000362
43 instances of CDS,OG0000363
43 instances of CDS,OG0000364
42 instances of CDS,OG0000369
42 instances of CDS,OG0000370
42 instances of CDS,OG0000372
39 instances of CDS,OG0000373
42 instances of CDS,OG0000374
42 instances of CDS,OG0000375
42 instances of CDS,OG0000376
42 instances of CDS,OG0000377
42 instances of CDS,OG0000378
42 instances of CDS,OG0000379
42 instances of CDS,OG0000381
42 instances of CDS,OG0000383
42 instances of CDS,OG0000384
42 instances of CDS,OG0000387
42 instances of CDS,OG0000388
42 instances of CDS,OG0000389
42 instances of CDS,OG0000391
42 instances of CDS,OG0000392
42 instances of CDS,OG0000394
41 instances of CDS,OG0000395
42 instances of CDS,OG0000397
42 instances of CDS,OG0000398
42 instances of CDS,OG0000400
42 instances of CDS,OG0000401
42 instances of CDS,OG0000403
42 instances of CDS,OG0000404
42 instances of CDS,OG0000407
40 instances of CDS,OG0000408
42 instances of CDS,OG0000410
40 instances of CDS,OG0000411
41 instances of CDS,OG0000412
42 instances of CDS,OG0000413
42 instances of CDS,OG0000414
42 instances of CDS,OG0000415
42 instances of CDS,OG0000420
41 instances of CDS,OG0000421
42 instances of CDS,OG0000422
42 instances of CDS,OG0000424
42 instances of CDS,OG0000425
42 instances of CDS,OG0000426
41 instances of CDS,OG0000427
42 instances of CDS,OG0000428
41 instances of CDS,OG0000431
41 instances of CDS,OG0000432
41 instances of CDS,OG0000433
41 instances of CDS,OG0000434
41 instances of CDS,OG0000436
