	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000000	g1969, g3458, g25197, g27924, g7155	g7155, g3458, g25197, g27924, g1969	g25197, g1969, g3458	g10973, g11324, g30782	mf_5097, mf_12003, mf_9319, mf_1721, mf_8663, mf_13277, mf_11980, mf_10328, mf_9459	g201, g3058	g18436, g6268, g16835, g5110, g7130, g8458, g6445, g2580, g19514, g11341, g623, g8912, g21621, g6868, g23447, g13300, g13301, g7996, g6803	g6868, g11341, g623, g6268, g2580, g18436, g6803, g6445, g16835, g19514, g5110, g8458, g21621, g13301, g23447, g7130, g8912, g7996, g13300	g18436, g7130, g23447, g8912, g5110, g623, g7996, g19514, g21621, g6445, g11341, g6268, g2580, g6803, g6868, g13300, g8458, g16835, g13301	g16703	g16703	g5110, g7130, g8912, g6868, g2580, g13300, g13301, g18436, g6445, g7996, g6268, g6803, g11341, g21621, g23447, g623, g19514, g8458, g16835	g19514, g16835, g23447, g5110, g7130, g6803, g8912, g18436, g623, g6268, g7996, g11341, g8458, g21621, g2580, g13301, g13300, g6445, g6868	g6803, g6445, g7130, g7996, g6268, g11341, g18436, g8458, g21621, g8912, g6868, g13300, g19514, g2580, g23447, g16835, g623, g13301, g5110	g8912, g13300, g16835, g6868, g7130, g623, g6445, g5110, g6268, g8458, g19514, g7996, g13301, g11341, g23447, g18436, g6803, g21621, g2580	g5110, g6445, g16835, g6868, g6268, g19514, g23447, g7130, g7996, g18436, g8458, g13301, g13300, g2580, g21621, g11341, g6803, g623, g8912	g16703	g22106, g16703	g16703
OG0000001	g25269	g25269	g25269		mf_7161, mf_2543, mf_1070, mf_541, mf_6768, mf_11701, mf_1093, mf_1147, mf_4357, mf_649, mf_10374, mf_12560, mf_10396, mf_2080, mf_7337, mf_10085, mf_13429, mf_7109, mf_14708, mf_9477, mf_14790, mf_8390, mf_13257, mf_6177, mf_1203, mf_9903, mf_3723, mf_5697, mf_1158, mf_4028, mf_5655, mf_4051, mf_8815, mf_12819, mf_10989, mf_11622, mf_2001, mf_5010, mf_13311, mf_5786, mf_191, mf_8508, mf_7347, mf_2333, mf_2531, mf_8814, mf_316, mf_10176, mf_3108, mf_11593, mf_9378, mf_9296, mf_12498, mf_759, mf_13443, mf_6887, mf_7601, mf_4598, mf_5752, mf_5125, mf_9889, mf_2796, mf_11547, mf_7387, mf_3636, mf_14823, mf_6394, mf_8517, mf_9900, mf_2195, mf_665, mf_8366, mf_10040, mf_13636, mf_12113, mf_1341, mf_14994, mf_10844, mf_1374, mf_13164, mf_682, mf_1094, mf_13763, mf_3050, mf_7892, mf_7011, mf_13942, mf_999, mf_9245, mf_3829, mf_674, mf_11860, mf_4680, mf_7787, mf_10052, mf_9661, mf_11608, mf_2954, mf_11465, mf_5287, mf_13149, mf_7232, mf_10316, mf_11752, mf_2314, mf_11351, mf_12663, mf_582, mf_14604, mf_13424, mf_14220, mf_12120, mf_13141, mf_5273, mf_5424, mf_8581, mf_1712, mf_4892, mf_14096, mf_4897, mf_4890, mf_6329, mf_6142, mf_11179, mf_3984, mf_10835, mf_9061, mf_14715, mf_8635, mf_4151, mf_12204, mf_212, mf_92, mf_7923, mf_4607, mf_14423, mf_13388, mf_14390, mf_9426, mf_12723, mf_13270, mf_8029, mf_4404, mf_11821, mf_942, mf_4797, mf_8705, mf_8430, mf_13688, mf_6521, mf_4927, mf_1206, mf_6690, mf_6693, mf_2551, mf_13794, mf_10603, mf_6319, mf_5812, mf_14268, mf_9627, mf_9049, mf_6149, mf_10369, mf_1119, mf_795, mf_5267, mf_2074	g9238	g15968	g15968	g15968			g15968	g15968	g15968	g15968	g15968			
OG0000002	g19831, g17786, g18434, g15537, g15792	g15537, g17786, g18434, g19831	g19831, g15537, g18434, g17786	g7709, g30406, g15475, g25646, g8932, g30511, g1098, g19818	mf_10186, mf_2389, mf_14836, mf_14534, mf_5524, mf_10192, mf_1143, mf_12286, mf_14666, mf_15033, mf_11373, mf_4441, mf_1815, mf_14049, mf_14938, mf_11295, mf_7719, mf_554, mf_14843, mf_12332, mf_9603, mf_2380, mf_9671, mf_6963, mf_11419, mf_11, mf_8920, mf_995, mf_5254, mf_381, mf_14460, mf_11239, mf_11284, mf_4804, mf_2007, mf_11096, mf_9964, mf_3882, mf_762, mf_12218, mf_3092, mf_1478, mf_15030, mf_6469, mf_1793, mf_12903, mf_7814, mf_14747, mf_12422, mf_9141, mf_9002, mf_4114, mf_5546, mf_4120, mf_5937, mf_13039, mf_13707, mf_1377, mf_775, mf_8750, mf_2410, mf_11313, mf_13599, mf_1184, mf_7408, mf_2666, mf_11113, mf_1944, mf_9760, mf_3839, mf_8670, mf_12461, mf_6057, mf_3991, mf_8348, mf_14086, mf_8565, mf_3017, mf_8094, mf_13156, mf_5411, mf_11416, mf_11624, mf_11089, mf_11395, mf_613, mf_13451, mf_3135, mf_11288, mf_5814, mf_10798, mf_3740, mf_6227, mf_13425, mf_4233, mf_1678, mf_14065, mf_3546, mf_8034, mf_6206, mf_35, mf_10140, mf_272, mf_14458, mf_100, mf_11365, mf_9582, mf_8402, mf_1647, mf_3238, mf_1641, mf_2864, mf_12412, mf_3660, mf_2763, mf_10584, mf_14432, mf_9200, mf_13566, mf_3432, mf_14905, mf_9592, mf_13504, mf_9783, mf_1538, mf_11959, mf_6951, mf_11748, mf_6466, mf_13335, mf_4674, mf_4888, mf_6601, mf_5596, mf_6401, mf_14334, mf_11877, mf_12790, mf_12879, mf_305, mf_7548, mf_7587, mf_13570	g533, g587	g19004	g19004	g19004	g4169	g4169	g19004	g19004	g19004	g19004	g19004	g4169	g4169	g4169
OG0000003	g13794, g6233, g14146, g17950, g9549, g9323, g3069, g29393, g22225, g22447, g6058	g3069, g22447, g22225, g9323, g17950, g13794, g9549, g14146	g14146, g13794, g22447, g9323, g9549, g6058, g22225, g29393, g17950	g783, g29279	mf_9936, mf_12551		g6246, g2579, g23776, g12549, g15141, g12713, g12986, g7898, g10090, g15043	g6246, g12986, g12549, g23776, g2579, g12713, g15043, g10090, g15141, g7898	g23776, g15043, g6246, g12986, g2579, g15141, g12713, g10090, g7898, g12549	g4161, g982, g2659, g7730, g14411, g5043, g12640, g8198, g9945, g12240	g14411, g5043, g9945, g4161, g7730, g12240, g8198, g982, g2659, g12640	g12549, g15043, g2579, g12986, g6246, g7898, g23776, g12713, g15141, g10090	g10090, g12549, g15141, g15043, g7898, g23776, g6246, g12713, g12986, g2579	g10090, g12549, g15043, g6246, g7898, g23776, g12713, g12986, g15141, g2579	g15043, g12549, g15141, g12713, g7898, g6246, g2579, g12986, g10090, g23776	g15141, g12713, g10090, g12986, g6246, g12549, g23776, g2579, g7898, g15043	g9945, g982, g4161, g12640, g12240, g2659, g8198, g5043, g14411, g7730	g5043, g12640, g2659, g9945, g4161, g982, g14411, g8198, g20963, g12240, g7730, g20936	g7730, g8198, g4161, g9945, g14411, g12640, g5043, g12240, g982, g2659
OG0000004	g13685, g18575, g20908, g15145, g3718, g14565, g18576, g1028	g15145, g20908, g3718, g14565, g1028, g13685, g18575, g18576	g18576, g20908, g13685, g18575, g3718, g14565, g1028, g15145	g9596, g3225, g4432, g16617, g30110, g22265, g4312, g30237, g13057, g20289, g14752	mf_14102, mf_10042, mf_1311, mf_14091, mf_2140, mf_1625, mf_4345, mf_4620, mf_3661, mf_8133	g11019, g4325, g8780, g9309	g19262, g24581, g7150, g4047, g5091, g8170, g13654, g13325	g4047, g19262, g8170, g7150, g13654, g5091, g24581, g13325	g24581, g7150, g8170, g13325, g4047, g13654, g5091	g18136, g18137, g5122, g6083, g7376, g7377, g1127, g1791	g7376, g5122, g18136, g18137, g6083, g7377, g1127	g7150, g24581, g19262, g13654, g8170, g4047, g5091, g13325	g24581, g19262, g5091, g13654, g7150, g4047, g13325	g19262, g24581, g13325, g8170, g4047, g7150, g5091, g13654	g7150, g24581, g8170, g13654, g4047, g13325, g5091	g4047, g24581, g7150, g13654, g19262, g8170, g5091, g13325	g7377, g7376, g6083, g1791, g1127, g5122, g18136, g18137	g21557, g21558, g18136, g18137, g23644, g20430, g1127, g7377, g7376, g6083, g1791, g5122	g1127, g6083, g7377, g7376, g1791, g18136, g18137, g5122
OG0000005	g24687, g9765, g11254, g10971, g98	g10971, g24687, g98, g22099, g9461, g9765, g11254	g24687, g9765, g98, g11254, g9461	g19093, g14839, g2096, g12403, g11443, g11444, g19517, g1280, g13081, g18199, g18727	mf_4537, mf_8396, mf_14923, mf_12424, mf_457, mf_1333, mf_14239, mf_7876, mf_12962, mf_12363, mf_11882, mf_14029, mf_13528, mf_8030, mf_10720, mf_13532, mf_6295, mf_11728	g1696, g11618, g13804	g13482, g16241, g17263, g9125, g14803, g14049, g15963, g4024, g19085, g10119, g1835	g17263, g15963, g16241, g19085, g10119, g9125, g13482, g14049, g14803, g4024, g1835	g9125, g15963, g4024, g14049, g14803, g16241, g10119, g17263, g19085, g13482	g12373, g827, g16446	g5887, g16446, g12373	g14049, g15963, g10119, g16241, g13482, g19085, g4024, g17263, g14803, g9125	g4024, g13482, g17263, g10119, g14049, g16241, g14803, g9125, g19085, g15963	g4024, g9125, g10119, g14803, g17263, g13482, g16241, g14049, g15963, g19085	g1835, g15963, g19085, g4024, g17263, g14803, g9125, g14049, g10119, g16241, g13482	g15963, g14049, g4024, g14803, g13482, g19085, g10119, g1835, g17263, g16241, g9125	g827, g5887, g16446, g12373	g5887, g827, g16446, g12373	g12373, g5887, g16446, g827
OG0000006	g16827, g18553, g24378, g4518, g14525, g2021, g22891, g2022, g9534, g19507, g22586, g15450, g26963, g3231, g28551, g13227, g19402, g27941	g14525, g25050, g16827, g4518, g2021, g2022, g24378, g28551, g19507, g27941, g26963, g13227, g3231, g22586, g19402, g22891	g19402, g13227, g4518, g15450, g24378, g18553, g28551, g3231, g2021, g25050, g16827, g27941, g19507, g9534, g22586, g22891, g26963, g14525		mf_7212, mf_362, mf_14914, mf_7839, mf_4735, mf_2671, mf_14532, mf_14455		g7564, g17380, g7716, g1956, g8409	g1956, g7564, g8409, g17380, g7716	g17380, g1956, g7564, g7716, g8409	g13014, g7853, g17470, g15774, g11861, g12821, g10390, g7854, g15150	g11861, g10390, g13014, g7853, g7854, g15150, g15774, g17470, g12821	g7716, g17380, g8409, g1956, g7564	g7564, g8409, g17380, g7716, g1956	g1956, g8409, g7716, g17380, g7564	g8409, g21292, g1956, g17380, g7716, g7564	g7716, g8409, g1956, g17380, g7564	g7853, g7854, g15774, g15150, g12821, g17470, g10390, g11861, g13014	g7853, g15150, g11861, g10390, g15774, g17470, g7854, g21271, g21743, g22418, g13014, g12821	g17470, g7854, g7853, g15774, g12821, g13014, g10390, g15150, g11861
OG0000007	g21416, g21415, g18779, g10787, g21687, g10788, g18775, g18778, g18777, g10784, g10785, g10786, g9307, g12702, g9310, g247, g248, g21688, g21689	g12702, g248, g21689, g21688, g21687, g21415, g10784, g10787, g10785, g21416, g247, g9310, g9307, g18775, g18778, g18777, g18779	g12702, g247, g21688, g18779, g9307, g21416, g10786, g10784, g10785, g248, g21689, g21687		mf_11140, mf_877, mf_7324, mf_6072, mf_5196, mf_9969, mf_13004, mf_14893, mf_5061, mf_6595, mf_7573, mf_12578, mf_1978, mf_9406, mf_11387					g11848, g11849, g11850, g11671, g11670, g12413, g12414, g15132, g15130, g15131, g15129, g4381, g4379, g15128, g4380, g11669, g8245	g15129, g15131, g15132, g12414, g12413, g4380, g4379, g4381, g11671, g11670, g8245, g15128, g15130, g11669, g11850, g11848, g11849						g4380, g4381, g4379, g11671, g11670, g11669, g15128, g11850, g11848, g11849, g12414, g12413, g15129, g15130, g15131, g8245, g15132	g11850, g15132, g15128, g15129, g15130, g15131, g12413, g12414, g11848, g11849, g4381, g4380, g4379, g11669, g11670, g11671, g8245	g11848, g11850, g11669, g11670, g11849, g12414, g12413, g15130, g15131, g15128, g15129, g15132, g4379, g4380, g11671, g8245, g4381
OG0000008	g23253, g14618, g25087, g29198, g14431, g7969, g10450, g7968, g17534, g5894, g22083, g1265, g1376, g13327, g13324, g14863	g5894, g22083, g10450, g1376, g1265, g29198, g13327, g13324, g14618, g16610, g14431, g7969, g17534, g7968, g25087, g14863	g1376, g14618, g1265, g17534, g14863, g29198, g25087, g23253, g22083, g22575, g5894, g14431, g7968, g7969	g4411	mf_4943, mf_6851, mf_9480, mf_1295, mf_1522, mf_13354, mf_14953		g2781, g19678, g5102, g2583, g12045, g3114, g11179, g14331	g5102, g3114, g14331, g2583, g19678, g2781, g12045	g2781, g11179, g3114, g14331, g2583, g19678, g5102, g12045	g8249, g14418, g14417, g19307, g14946	g14417, g19307, g14946, g14418, g8249	g3114, g2583, g11179, g12045, g19678, g14331, g2781, g5102	g12045, g5102, g3114, g11179, g19678, g2781, g14331, g2583	g11179, g14331, g12045, g2583, g5102, g19678, g3114, g2781	g19678, g12045, g3114, g5102, g11179, g2781, g2583, g14331	g19678, g3114, g14331, g12045, g2583, g2781, g5102	g8249, g14946, g14418, g14417, g19307	g23946, g14417, g14418, g14946, g21594, g8249	g8249, g14417, g14418, g14946
OG0000009	g19680, g6529, g17604, g11514, g3316, g10822, g30199, g16408, g25888, g4961, g25718, g18949, g17698, g25467, g18566, g6835, g25273, g2680, g17521, g13917, g21813, g21172, g6316	g19680, g25888, g10822, g6835, g3316, g6316, g21813, g17604, g25273, g17521, g21172, g11514, g6529, g30199, g4961, g17698, g13917, g2680, g18566, g25467, g16408	g10822, g21813, g25888, g25467, g2680, g18566, g6316, g6529, g17604, g30199, g19680, g25273, g17698, g13917, g6835, g19681, g3316, g11514, g4961, g16408	g9144, g4912, g12972	mf_12553, mf_14734, mf_13456, mf_2810, mf_2211, mf_14245, mf_2698, mf_4805, mf_2334, mf_9625, mf_8799, mf_4481, mf_7547	g11756, g10143	g1183, g20463	g1183, g20463	g20463, g1183	g9674, g19951, g5104, g17944, g17072, g16767, g17868	g17868, g16767, g5104, g17072, g17944, g19951, g9674	g20463, g1183	g20463, g1183	g20463, g1183	g1183, g20463	g1183, g20463	g17072, g19951, g9674, g17944, g16767, g17868, g5104	g17072, g22221, g9674, g22585, g17868, g17944, g16767, g19951, g22883, g5104	g19951, g17072, g17944, g17868, g5104, g9674
